program_id,title,provider,target_audience,program_type,created_at,modified_at,start_date,end_date,related_major,price,image_url,eligible_region,venue_region,operate_cycle
1,바리스타 체험 교실 (에스프레소 추출),훈스커피랩학원,중 고,직업실무체험형,46:38.2,46:38.2,2025-09-10,2025-09-10,기타 조리사,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250827&physical=7FA91ABB4CFD4281B6D2384DDC576A3D.jpg,전국,체험처,
2,녹색에너지를 탐색!하다,금천구청(금천에코센터),중 고,현장직업체험형,46:38.2,46:38.2,2025-09-10,2025-09-10,환경공학 기술자 및 연구원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20160107&physical=13D5EFD0A70446288B06C734E6AC190B.jpg,"서울특별시 강남구, 서울특별시 강동구, 서울특별시 강북구, 서울특별시 강서구, 서울특별시 관악구, 서울특별시 광진구, 서울특별시 구로구, 서울특별시 금천구, 서울특별시 노원구, 서울특별시 도봉구, 서울특별시 동대문구, 서울특별시 동작구, 서울특별시 마포구, 서울특별시 서대문구, 서울특별시 서초구, 서울특별시 성동구, 서울특별시 성북구, 서울특별시 송파구, 서울특별시 양천구, 서울특별시 영등포구, 서울특별시 용산구, 서울특별시 은평구, 서울특별시 종로구, 서울특별시 중구, 서울특별시 중랑구, 경기도 가평군, 경기도 고양시, 경기도 과천시, 경기도 광명시, 경기도 광주시, 경기도 구리시, 경기도 군포시, 경기도 김포시, 경기도 남양주시, 경기도 동두천시, 경기도 부천시, 경기도 성남시, 경기도 시흥시, 경기도 안산시, 경기도 안성시, 경기도 안양시, 경기도 양주시, 경기도 양평군, 경기도 여주시, 경기도 연천군, 경기도 오산시, 경기도 용인시, 경기도 의왕시, 경기도 의정부시, 경기도 이천시, 경기도 파주시, 경기도 평택시, 경기도 포천시, 경기도 하남시, 경기도 화성시, 경기도 수원시",체험처,
3,해양분야 직업탐구 및 코딩을 이용한 등대 만들기,국립해양측위정보원,초 중 고,현장직업체험형,46:38.2,46:38.2,2025-08-27,2025-11-30,해양공학,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250827&physical=92D98F4E459841E4AA30B5FB8D94C617.jpg,전국,체험처,월화수목금
4,벌룬플래너 창의풍선아트 진로체험,무지개풍선,초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-27,2027-12-31,컨벤션/이벤트산업,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250811&physical=CDC8F4F2A79D49708495B4316051DD12.jpg,전국,학교,월화수목금
5,라떼아트(초급),대전커피문화식음료학원,중 고,직업실무체험형,46:38.2,46:38.2,2025-09-01,2025-12-31,음료 조리사,25000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250826&physical=D4BE63AD63E34A7AA60886DDA1091441.jpg,전국,체험처,월화수목
6,카페메뉴&디저트,대전커피문화식음료학원,초 중 고,직업실무체험형,46:38.2,46:38.2,2025-09-01,2025-12-31,음료 조리사,25000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250826&physical=B0294362A57343B387A9CBD77BFE4CC2.jpg,전국,체험처,수토
7,'군인' 직업체험 프로그램,해병대 제9여단,중 고,현장직업체험형,46:38.2,46:38.2,2025-08-26,2027-12-31,군인,0,,전국,체험처,월화수목금
8,에너지 진로체험교육 - 에너지 진로 멘토링(전문가),한국에너지정보문화재단 에너지정보관,초 중,강연형,46:38.2,46:38.2,2025-08-26,2025-12-19,에너지·환경공학 기술자 및 시험원,0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20230908&physical=34774B1E021747EF857C8E1848731ABC.jpg,전국,온라인,월화수목금
9,댄스,하단댄스플로어523,초 중 고,현장직업체험형,46:38.2,46:38.2,2025-09-01,2026-09-01,무용가 및 안무가,11000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250826&physical=C7822851D19D422D82957F5A6EC3BA51.png,전국,체험처,월화수목금토일
10,공예가 진로체험 - 마크라메 무드등,현암공방,초 중,직업실무체험형,46:38.2,46:38.2,2025-08-01,2026-02-28,실내장식 디자이너,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250826&physical=048AD17BF7D346A1AD6F71BAD155C43E.jpg,전국,학교,월화수목금토일
11,동전먹는로봇-로봇공학자,꿈드림에듀,초 중 고,직업실무체험형,46:38.2,46:38.2,2025-08-25,2035-08-31,로봇공학 기술자 및 연구원,14000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250826&physical=0D4FCC9C552C4494A5D709897E8EC140.png,전국,체험처,월화수목금토일
12,가죽 카드지갑 만들기,레트리에가죽공방,초 중 고,현장직업체험형,46:38.2,46:38.2,2025-09-01,2035-09-30,제품 디자이너,50000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250825&physical=E2EF9D558CCC4132921CB5A2565CE66D.jpg,전국,체험처,월화수목금
13,웰컴투 박물관 (박물관과 박물관 사람들),제주해양동물박물관,초,현장견학형,46:38.2,46:38.2,2025-09-01,2027-08-31,학예사 및 문화재 보존원,7000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250825&physical=24B11AC9C0B3478E8D528AC168889CAE.jpg,전국,체험처,월화목금
14,수박카빙데코레이션 과정,대전커피문화식음료학원,고,학과체험형,46:38.2,46:38.2,2025-09-01,2025-12-31,주방장 및 조리사,100000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250825&physical=6A196A1311064582B4D1AEFF908F619D.jpg,전국,체험처,토
15,바텐더 직업체험하기 (조주기능사),대전커피문화식음료학원,고,직업실무체험형,46:38.2,46:38.2,2025-09-01,2025-12-31,바텐더,30000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250825&physical=3612B78C2FD94C54B9CB795A0ED63D3C.jpg,전국,체험처,금토
16,"한 걸음 더, 미술 감상",미메시스 아트 뮤지엄,중,현장직업체험형,46:38.2,46:38.2,2025-08-26,2025-12-31,학예사·사서·기록물관리사,8000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250524&physical=E75246E936B04F4084AD26C1D1276E47.jpg,전국,체험처,월화수목금
17,"[찾아가는 미술관] - 클레이 캐릭터, 내 꿈을 JOB아라!",드림톡톡어린이미술관,초 중,직업실무체험형,46:38.2,46:38.2,2027-08-30,2027-08-30,예술·디자인·방송직,15000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250824&physical=9CB02D5888EF4CB39C19C15997C17F9B.jpg,전국,학교,
18,플로리스트 체험하기,로렌트리공예학원,중 고,현장직업체험형,46:38.2,46:38.2,2025-08-25,2025-12-31,원예작물 재배원,35000,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250823&physical=D28B6C95CC7346ED801D968C7480E4F4.jpg,전국,체험처,월화수목금
19,"초등부 스포츠수업 / 에어점핑줄넘기,파쿠르피구,클라이밍,인라인하키,점핑댄스,스내그골프)",키파스포츠(유소년스포츠센터),초,강연형,46:38.2,46:38.2,2025-08-01,2035-08-31,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가",0,https://www.ggoomgil.go.kr/common/fileView.do?path=common/20250823&physical=B0422F1A2FB9449F975CF8F9468D47D6.jpg,전국,학교,월화수목금
