title,provider,date,frequency,type,target,major,fee,location,available_region,job_category_id,job_category_name
(자원봉사교육)자원봉사를 어떤 마음과 어떻게 해야 할지 함께 알아보기,상양관광농원,2025-01-01 ~ 2025-12-31,월화수목금,강연형,중 고,사회복지사,"20,000원",체험처,전국,15,기타 서비스직
'공간인간' 유현준 교수와 함께 하는 진로콘서트,서구진로교육지원센터,2025-09-13,,강연형,중 고,건축가,무료,체험처,전국,3,건설·채굴 연구개발직 및 공학기술직
딸기를 활용한 식생활 요리체험,보성싱싱농원,2025-09-09 ~ 2026-12-31,월화수목금,현장견학형,초 중 고,작물재배 종사자,"30,000원",학교,전국,15,기타 서비스직
[대면]한의사 체험학습 “꿈을 그리는 한의사란?”,숨쉬는한의원 수원점,2025-09-08 ~ 2026-07-31,목,현장직업체험형,초 중,한의사,무료,체험처,전국,15,기타 서비스직
AI로 만드는 나만의 미디어,K-메디치연구소,2025-09-01 ~ 2026-09-01,월화수목금,직업실무체험형,초 중 고,공연·영화 및 음반 기획자,"28,000원",체험처,전국,11,예술·디자인·방송직
레진아트(토탈공예),다인공방,2025-09-10 ~ 2027-12-31,월화수목금토,직업실무체험형,초 중 고,기타,"25,000원",체험처,전국,15,기타 서비스직
"[강릉 국가유산교육 활성화 사업] 우리 유산, 우리 미래 - 강릉대도호부관아(문화유산현장교육형)",강릉문화원,2025-09-08 ~ 2025-11-28,월화수목금,현장견학형,초 중,기타,무료,체험처,전국,15,기타 서비스직
"[강릉 국가유산교육 활성화 사업] 우리 유산, 우리 미래 - 강릉대도호부관아(학교방문형)",강릉문화원,2025-09-08 ~ 2025-11-28,월화수목금,대화형,초 중,기타,무료,학교,전국,15,기타 서비스직
꽃송편 만들기,심재경향토치유음식연구소,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,주방장 및 요리 연구가,"25,000원",체험처,전국,15,기타 서비스직
꿈터 가죽공예&캘리그래피&라탄공예&토탈공예,미소가 있는 공방(제천 지점),2025-09-01 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,공예원,"20,000원",체험처,전국,11,예술·디자인·방송직
퓨전약과 만들기,심재경향토치유음식연구소,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,주방장 및 요리 연구가,"30,000원",체험처,전국,15,기타 서비스직
친환경 에너지 창작소 - 에코 롱롱 큐브_서울,(재)꽃과어린왕자(에코 롱롱 큐브),2025-09-08 ~ 2025-12-18,월화수목금,현장직업체험형,초 중,에너지·환경공학 기술자 및 시험원,무료,체험처,전국,15,기타 서비스직
<진로체험>조향사: 북스토리 퍼퓸 만들기,강릉핸드메이드공예학원,2025-03-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,자연과학 연구원,"30,000원",체험처,전국,15,기타 서비스직
[가게방문/직업실무체험] 네일아티스트,두두네일,2025-09-07 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,기타 미용 서비스원,"20,000원",체험처,전국,15,기타 서비스직
[학교방문/현장직업체험] 네일아티스트,두두네일,2025-09-07 ~ 2026-12-31,월화수목금,현장직업체험형,초 중 고,기타 미용 서비스원,"20,000원",학교,전국,15,기타 서비스직
AI인공지능 큐브,다함에듀,2025-09-08 ~ 2025-12-31,월화수목금,현장직업체험형,초 중 고,인공지능시스템및응용,"10,000원",학교,전국,15,기타 서비스직
<진로체험> 맞춤형화장품: 커피박 업사이클링 커피 스크럽 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타 보건·의료종사원,"25,000원",체험처,전국,10,보건·의료직
"[전쟁기념관 진로체험] 6·25전쟁, 현장을 가다!",전쟁기념관,2025-03-11 ~ 2025-12-11,화수목금토,현장견학형,중,예술·디자인·방송·스포츠직,무료,체험처,전국,15,기타 서비스직
컬러테라피스트,컬러시간,2025-09-22 ~ 2027-12-31,월화수목금,현장직업체험형,중 고,상담 전문가,"10,000원",체험처,전국,15,기타 서비스직
[전쟁기념관 진로체험] 무관의 길,전쟁기념관,2025-03-11 ~ 2025-12-11,화수목금토,현장견학형,중,군인,무료,체험처,전국,9,군인
<진로체험> 요리사 : 과일청 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2025-12-31,월화수목금토일,현장직업체험형,초 중 고,음료 조리사,"30,000원",학교,전국,15,기타 서비스직
(진로체험) 조향사 : mbti 조향 향수 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,자연과학 연구원,"30,000원",체험처,전국,15,기타 서비스직
<진로체험>천연아로마캔들공예강사 : 천연캔들 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,화학공학 기술자 및 시험원,"25,000원",체험처,전국,15,기타 서비스직
<진로체험> 맞춤형화장품 조제관리사란 직업의 이해와 맞춤형화장품 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,화학공학 기술자 및 시험원,"25,000원",학교,전국,15,기타 서비스직
"[조선일보 뉴지엄] 신문기자, 방송기자 체험",조선일보 뉴지엄,2025-09-01 ~ 2028-12-31,화수목금토일,현장직업체험형,초 중 고,기자 및 언론 전문가,"10,000원",체험처,전국,0,인문·사회과학 연구직
대추따기 진로체험,건천자드락체험마을,2025-10-01 ~ 2025-11-21,월화수목금,현장직업체험형,초,과수작물 재배원,"25,000원",체험처,전국,1,자연·생명과학 연구직
실버버튼 유튜버와 함께하는 디지털 리터러시 체험,햇살 피디 스튜디오,2025-09-05 ~ 2025-12-31,월화수목금,직업실무체험형,초 중,뉴미디어,"15,000원",학교,전국,11,예술·디자인·방송직
